video_id,title,channel,published_at,duration_seconds,views,url,matched_keywords
BkkCOfjtYmI,"Why Are You Waking Up at 3:37 AM? Perimenopause, Blood Sugar & Sleep Explained","Dr. Vonda Wright, MD",2026-02-19T11:00:17Z,420,15462,https://www.youtube.com/watch?v=BkkCOfjtYmI,"health, healthy, nutrition, fitness, sleep, habit, longevity"
qSj9YPhDIVM,I MEGADOSED Glycine for 30 Days! [Sleep DEEP & BOOST Energy],MMHealth,2025-12-23T10:53:47Z,596,40495,https://www.youtube.com/watch?v=qSj9YPhDIVM,"health, wellness, nutrition, diet, exercise, sleep, stress, recovery, longevity"
2eM3Vb-6pnA,Conversations with UN Ambassador Dia Mirza | Eco Anxiety in a Climate risked world,Down To Earth,2026-01-01T11:09:27Z,681,45148,https://www.youtube.com/watch?v=2eM3Vb-6pnA,"health, mental"
l5BrxCI_uGM,WHAT I EAT IN A DAY as a PhD Nutritionist I on-the-go in London,Dr Emily Prpa,2026-02-22T18:00:00Z,801,9921,https://www.youtube.com/watch?v=l5BrxCI_uGM,"health, healthy, nutrition, diet, protein, habit"
JnFWrAA2oxM,"Your Body Reset: The Proven Protocol to Get Stronger, Lose Fat, & Take Control of Your Health",Mel Robbins,2026-01-01T10:00:33Z,4853,688311,https://www.youtube.com/watch?v=JnFWrAA2oxM,"health, diet, workout, exercise, sleep, habit"
TFGQABxzuiI,"500,000 Strong! 🎉15-Min Celebration Walk for Improved Health at Home",Improved Health,2026-02-16T11:00:46Z,930,27893,https://www.youtube.com/watch?v=TFGQABxzuiI,"health, healthy, wellness, fitness, workout, exercise, weight loss"
jX9PbZb0PY0,The Untold Longevity Secrets of GLP-1s and Thyroid Health with McCall McPherson,JJ Virgin,2025-10-08T05:00:06Z,2768,24896,https://www.youtube.com/watch?v=jX9PbZb0PY0,"health, wellness, nutrition, fitness, longevity, weight loss"
IpKiwtOp8JM,Scientist Reveals Why Glycine Is Key to Turning Off Inflammation | Dr. Joel Brind,Jesse Chappus,2026-02-10T13:24:07Z,6388,50905,https://www.youtube.com/watch?v=IpKiwtOp8JM,"health, healthy, wellness, nutrition, diet, fitness, sleep, meditation, recovery, lifestyle"
m-oraDDUU9A,Forget Turmeric! This ONE Food Kills Inflammation Faster | DR MANDELL,Graceful Health,2025-12-13T03:55:23Z,1312,27883,https://www.youtube.com/watch?v=m-oraDDUU9A,"health, sleep"
qKHknxLvsDY,The Immune Peptide Stack Big Pharma Hopes You Never Discover,Michael Morelli,2025-11-09T21:23:29Z,362,18875,https://www.youtube.com/watch?v=qKHknxLvsDY,"health, wellness, nutrition, fitness, recovery, lifestyle, longevity, weight loss, fat loss"
pxSNT-YijnI,The Sleep Damage Caused by Antidepressants,Dr. Josef,2026-02-27T18:01:03Z,928,13699,https://www.youtube.com/watch?v=pxSNT-YijnI,"health, sleep, mental, lifestyle"
CAmTU3Iyeu8,"Dr. Shawn Baker | The Truth About the Carnivore Diet (and More) | January 1, 2026 | Ep. 46",Max Helmer The Low Carb Consultant,2026-01-01T16:35:54Z,3525,5909,https://www.youtube.com/watch?v=CAmTU3Iyeu8,"health, healthy, nutrition, diet, exercise, mental, lifestyle, weight loss"
fWXSG6qIbOI,11 Worst Daily Habits Quietly Destroying Your Health,Doctor Alex,2026-02-20T14:00:59Z,1355,141754,https://www.youtube.com/watch?v=fWXSG6qIbOI,"health, fitness, sleep, stress, lifestyle, habit, longevity"
sScqAKPi0ik,How to Lower Cholesterol with the Portfolio Diet,NutritionFacts.org,2026-02-23T13:00:01Z,383,13370,https://www.youtube.com/watch?v=sScqAKPi0ik,"health, nutrition, diet"
Q0-WOmhgW8o,"Nutritarian Diet: Maximize Longevity Naturally with Joel Fuhrman, MD",The Real Truth About Health,2025-11-12T19:53:42Z,6935,6462,https://www.youtube.com/watch?v=Q0-WOmhgW8o,"health, healthy, nutrition, diet, protein, lifestyle, longevity"
ltT7C3aqH7U,"YOGURT AT NIGHT - Impact on GUT, SLEEP and DIABETES - Important WARNINGS",Patricia Health and Nutrition,2025-10-14T21:30:08Z,330,184266,https://www.youtube.com/watch?v=ltT7C3aqH7U,"health, healthy, nutrition, diet, protein, sleep, habit, weight loss"
oEl1YABvfx0,The New Dietary Guidelines Quietly Admit They Were Wrong (Here’s the Proof),Dr. Eric Berg DC,2026-01-11T12:01:37Z,629,1375277,https://www.youtube.com/watch?v=oEl1YABvfx0,"health, healthy, nutrition, diet, protein, lifestyle"
qiZQhci2Y1g,Resistance Training: How Much And How Often For Better Health With Dr Stuart Phillips,Talking With Docs,2026-02-06T22:00:07Z,1075,73785,https://www.youtube.com/watch?v=qiZQhci2Y1g,"health, healthy, fitness, workout, exercise, lifestyle, longevity"
QnkJ5Xw7-u4,Major Update On Omega 3 Supplements For Vegans! Were We Wrong?,Plant Based Science London,2026-01-18T19:30:04Z,403,37404,https://www.youtube.com/watch?v=QnkJ5Xw7-u4,"health, nutrition, diet, weight loss"
whs5ixNTsH8,"Vegan, Not Bulletproof: Our Health Struggles & The Hope That Follows with Chef AJ & Chuck Carroll",CHEF AJ,2025-12-31T20:42:53Z,4816,24926,https://www.youtube.com/watch?v=whs5ixNTsH8,"health, lifestyle, weight loss"
HI9_4O3S7eg,Doctor Explains: One Spice That Helps Lower Blood Sugar and Support Artery Health,Dr. Williams Thompson | Useful Senior Health,2026-03-04T22:22:42Z,2347,12677,https://www.youtube.com/watch?v=HI9_4O3S7eg,"health, healthy, nutrition, diet, sleep, stress, lifestyle, habit"
OjmtMTklUYU,"How To Fix Your Lymphatic System for Healthier Skin, Weight Loss, and Overall Health","Dr. Amin Hedayat, MD",2025-11-08T00:08:56Z,1691,16148,https://www.youtube.com/watch?v=OjmtMTklUYU,"health, wellness, nutrition, diet, protein, sleep, stress, recovery, longevity, weight loss"
JDb45FPDH8o,Can You Build Muscle at 70? What Research Says About Aging & Metabolic Health | Dr Vonda Wright,"Dr. Vonda Wright, MD",2026-02-22T11:00:24Z,543,12586,https://www.youtube.com/watch?v=JDb45FPDH8o,"health, healthy, nutrition, fitness, longevity"
QbIgxenvZU0,Spike Protein: WORST Suspicion Confirmed! [New Detox Study],MMHealth,2026-02-20T10:28:51Z,643,5402,https://www.youtube.com/watch?v=QbIgxenvZU0,"health, wellness, nutrition, diet, protein, exercise, sleep, stress, recovery"
tChIH_ZXas8,Soil Health in India by Dr. Sultan Ismail | National Conclave on Sustainable Food Systems 2025,Down To Earth,2025-10-28T10:16:07Z,486,23646,https://www.youtube.com/watch?v=tChIH_ZXas8,"health, nutrition, mental"
CtOrd_ISHOk,WHAT I EAT IN A DAY AS A PHD NUTRITIONIST to balance my hormones -realistic meals,Dr Emily Prpa,2026-02-08T17:43:24Z,1319,20099,https://www.youtube.com/watch?v=CtOrd_ISHOk,"health, healthy, nutrition, diet, protein, habit"
GtVPoYq7Rso,How to Deal with Difficult People & Not Get Stressed Out,Mel Robbins,2025-11-17T10:00:34Z,4106,364025,https://www.youtube.com/watch?v=GtVPoYq7Rso,"stress, habit"
RCWTdOP3T4s,Foods I Eat EVERY DAY As a Nutrition Expert,JJ Virgin,2025-12-15T18:16:41Z,1861,8244,https://www.youtube.com/watch?v=RCWTdOP3T4s,"health, healthy, wellness, nutrition, diet, protein, fitness, workout, exercise, sleep"
DDDX-WHSb8A,Fasting for Weight Loss: Why It’s DIFFERENT & How to Do It CORRECTLY | Dr. Pradip Jamnadas,Jesse Chappus,2025-09-21T18:33:40Z,1562,201820,https://www.youtube.com/watch?v=DDDX-WHSb8A,"health, wellness, nutrition, fitness, sleep, meditation, lifestyle, weight loss, fat loss"
soP40TRL1dU,Chia Seed Alone Doesn’t Work – Add This to Kill Inflammation! | Dr. Alan Mandell,Graceful Health,2025-12-02T06:18:36Z,1845,10908,https://www.youtube.com/watch?v=soP40TRL1dU,"health, healthy, diet, stress, weight loss"
1URoCytcIVA,"Top 3 Peptides for Anxiety, Depression & Focus — The Calm + Clarity Stack",Michael Morelli,2025-11-02T22:37:18Z,424,5531,https://www.youtube.com/watch?v=1URoCytcIVA,"health, wellness, nutrition, fitness, stress, mental, longevity, weight loss, fat loss"
1w4cow6zmN8,Tom Brady Just Joined the Wellness Illusion,Dr. Josef,2026-01-13T14:00:05Z,437,12007,https://www.youtube.com/watch?v=1w4cow6zmN8,"health, wellness, diet, exercise, sleep, stress, mental, lifestyle, weight loss"
P0A7lYkLwFQ,"Kelly Hogan | A Carnivore Convo: Protein vs. Fat, Plateaus, Holidays & Exercise | 11/4/2025 Ep. 35",Max Helmer The Low Carb Consultant,2025-11-04T12:20:18Z,3626,6852,https://www.youtube.com/watch?v=P0A7lYkLwFQ,"health, healthy, nutrition, diet, protein, exercise, mental, lifestyle, habit, weight loss"
LO97JGVdorM,11 Science-Backed Habits for Healthy Skin and a Healthier Body,Doctor Alex,2026-02-10T16:36:37Z,1091,130869,https://www.youtube.com/watch?v=LO97JGVdorM,"health, healthy, protein, sleep, stress, lifestyle, habit, longevity"
GQnIUVZfjKU,Are Plant Sterols Effective for Lowering Cholesterol?,NutritionFacts.org,2026-02-25T12:59:47Z,242,10826,https://www.youtube.com/watch?v=GQnIUVZfjKU,"health, nutrition, diet"
t4y6et7tfHE,⚠️ The Biggest MISTAKE When Eating EGGS! BAD for your Health – What Science Shows!,Patricia Health and Nutrition,2026-02-25T21:30:12Z,413,7591,https://www.youtube.com/watch?v=t4y6et7tfHE,"health, healthy, nutrition, diet, protein, sleep, habit, weight loss"
gGuF6X1cd_Y,Why You Wake Up at 3AM (& How to Fall Back Asleep FAST),Dr. Eric Berg DC,2026-02-21T12:01:09Z,1134,186420,https://www.youtube.com/watch?v=gGuF6X1cd_Y,"health, healthy, nutrition, diet, protein, exercise, sleep, stress, lifestyle"
kX_-j1erlco,Are Tattoos Bad For Your Health? Do They Cause Cancer? Docs Review The Evidence,Talking With Docs,2026-01-16T22:00:58Z,1100,109416,https://www.youtube.com/watch?v=kX_-j1erlco,"health, lifestyle"
Uog31NMjCQQ,Is This The Healthiest Sweetener? Outstanding Benefits! This Sweetener Has Opposite Effect To Sugar!,Plant Based Science London,2025-11-01T20:00:32Z,309,34331,https://www.youtube.com/watch?v=Uog31NMjCQQ,"health, healthy, nutrition, diet, weight loss"
LlsBSbVC2T0,"Eat More, Weigh Less: Cooking for Weight Loss with Heather McDougall",CHEF AJ,2026-02-16T21:54:10Z,1822,6248,https://www.youtube.com/watch?v=LlsBSbVC2T0,"health, lifestyle, weight loss"
_0PYQRWdgFI,Doctor Explains: One Leaf That Helps Lower Blood Sugar and Support Artery Health,Dr. Williams Thompson | Useful Senior Health,2026-01-30T06:42:26Z,1796,123803,https://www.youtube.com/watch?v=_0PYQRWdgFI,"health, healthy, wellness, diet, lifestyle, habit"
skit_LfnDbM,"Science of Fasting: How to Lose Fat, Reverse Inflammation & Rebuild Your Cells","Dr. Amin Hedayat, MD",2025-10-17T01:45:06Z,1060,16417,https://www.youtube.com/watch?v=skit_LfnDbM,"health, wellness, diet, lifestyle, habit, longevity"
YZWyXhcCFDc,Gut Health After 40: 4 Science-Backed Ways to Fix Your Microbiome | Dr. Karen Corbin,"Dr. Vonda Wright, MD",2026-02-17T11:01:01Z,2595,15234,https://www.youtube.com/watch?v=YZWyXhcCFDc,"health, healthy, nutrition, diet, protein, fitness, exercise, longevity"
39dxJQOuEzk,Better than OZEMPIC: Eat 1 Spoon & burn Belly Fat FAST! (cheap & healthy),MMHealth,2025-10-12T09:31:04Z,809,21608,https://www.youtube.com/watch?v=39dxJQOuEzk,"health, healthy, diet, weight loss, fat loss"
ImCneFb9zbA,The Hidden Crisis in Your Food | What a Study Reveals About CO₂ and Nutrition,Down To Earth,2025-12-09T13:36:10Z,231,9939,https://www.youtube.com/watch?v=ImCneFb9zbA,"health, nutrition, protein, mental"
egggrlfQ8YE,INTERMITTENT FASTING FOR WOMEN: science explained by a PhD Nutritionist,Dr Emily Prpa,2026-02-01T16:00:00Z,636,6536,https://www.youtube.com/watch?v=egggrlfQ8YE,"health, nutrition, diet, workout, weight loss"
mJ0s1Cq8Lf8,"The Japanese 3x3 Walking Exercise: Burn Fat, Improve Health, Feel Younger!",Improved Health,2025-09-16T02:15:03Z,1946,125821,https://www.youtube.com/watch?v=mJ0s1Cq8Lf8,"health, fitness, workout, exercise, mental, longevity, weight loss"
9h2F1ybArO8,Why Most Women Over 40 Struggle with Weight Loss (And the Simple Fix) with Dr. Ted Naiman,JJ Virgin,2025-09-17T19:00:06Z,3330,12539,https://www.youtube.com/watch?v=9h2F1ybArO8,"health, healthy, wellness, nutrition, diet, protein, fitness, workout, exercise, sleep"
vbWRltnH4nY,Everything We’ve Been Told About Nutrition Is Wrong! | Dr. Zoë Harcombe,Jesse Chappus,2026-01-06T16:21:45Z,6959,59533,https://www.youtube.com/watch?v=vbWRltnH4nY,"health, wellness, nutrition, diet, fitness, sleep, meditation, lifestyle"
6V7R-4SQLjY,Can’t Sleep Through the Night? Use Turmeric This Way for Deep Rest & Nocturia Relief! dr mandell,Graceful Health,2025-12-12T06:01:22Z,1908,7419,https://www.youtube.com/watch?v=6V7R-4SQLjY,"health, sleep, lifestyle"
jkpanx5925s,This “Invisible” Ingredient Is Spiking Your Blood Sugar,Doctor Alex,2026-02-08T12:01:13Z,730,135800,https://www.youtube.com/watch?v=jkpanx5925s,"health, healthy, diet, protein, longevity"
ZYUZFg3ru3A,The Best Way to Test for Vitamin B12 Deficiency,NutritionFacts.org,2025-11-17T12:59:46Z,302,86417,https://www.youtube.com/watch?v=ZYUZFg3ru3A,"health, nutrition, diet"
QjT5W5qNm_A,"CHIA, FLAXSEED or PSYLLIUM - Which is the BEST for Your Diet? Which is the Healthiest?",Patricia Health and Nutrition,2026-02-15T21:30:03Z,617,6395,https://www.youtube.com/watch?v=QjT5W5qNm_A,"health, healthy, nutrition, diet, sleep, habit, weight loss"
W9qSb6--XfE,How They Convinced Millions to Take This CHOLESTEROL Pill for Life,Dr. Eric Berg DC,2026-02-18T11:00:46Z,499,144063,https://www.youtube.com/watch?v=W9qSb6--XfE,"health, healthy, nutrition, diet, stress, lifestyle"
4MYxOHONKiM,Protein: Everything You Need To Know With Top Protein Scientist Dr Stuart Phillips,Talking With Docs,2026-01-30T22:00:07Z,1030,74709,https://www.youtube.com/watch?v=4MYxOHONKiM,"health, diet, protein, lifestyle"
1shPipekxQY,Excruciating Pain! 96% Recovered With This Diet! Phenomenal!,Plant Based Science London,2026-01-14T20:01:05Z,330,11338,https://www.youtube.com/watch?v=1shPipekxQY,"health, nutrition, diet, weight loss"
eVrmIpeMwyw,How I Overcame My #1 Fear! Anesthesia Anxiety Explained & Why It’s Safer Now with Michael Kessler MD,CHEF AJ,2026-02-07T07:33:59Z,5225,5068,https://www.youtube.com/watch?v=eVrmIpeMwyw,"health, lifestyle, weight loss"
Da4P3cOrv1U,Doctor Explains: The Right Way Seniors Should Use Cinnamon for Blood Sugar and A1C,Dr. Williams Thompson | Useful Senior Health,2026-03-03T22:55:25Z,2606,12660,https://www.youtube.com/watch?v=Da4P3cOrv1U,"health, healthy, nutrition, diet, lifestyle, habit"
27SvRSxeWh0,Deep Sleep Soundscape | Science-Based Brainwave Entrainment with Rain & Isochronic Tones | 10 Hours,"Dr. Amin Hedayat, MD",2025-09-10T03:51:21Z,36036,15981,https://www.youtube.com/watch?v=27SvRSxeWh0,"health, healthy, wellness, sleep, stress, meditation, lifestyle, habit"
V5xxVNK3UgQ,Female Longevity After 40: 10 Simple Ways to Stay Strong and Healthy | Dr Vonda Wright,"Dr. Vonda Wright, MD",2026-02-03T11:01:00Z,1267,18923,https://www.youtube.com/watch?v=V5xxVNK3UgQ,"health, healthy, nutrition, fitness, habit, longevity"
stPbp4_wnnI,FORGET VIAGRA: Top 5 Vitamins for Libido!,MMHealth,2026-01-24T11:35:22Z,299,5364,https://www.youtube.com/watch?v=stPbp4_wnnI,"health, healthy, wellness, nutrition, diet, exercise, sleep, recovery"
UR0D0R2zdPY,"20-Minute Walk at Home for a Longer, Healthier Life | All Standing & Beginner Friendly",Improved Health,2025-10-27T10:01:00Z,1415,63900,https://www.youtube.com/watch?v=UR0D0R2zdPY,"health, healthy, fitness, workout, exercise, longevity"
D7eUhEcYGgM,How I Get My Protein Without Boring Chicken!,JJ Virgin,2025-11-17T16:00:31Z,1255,7650,https://www.youtube.com/watch?v=D7eUhEcYGgM,"health, healthy, wellness, nutrition, diet, protein, fitness, workout, exercise, sleep"
_ZWO7ogPOFI,Dr. Ken Berry REVEALS His High Fat Carnivore Diet (Proper Human Diet),Jesse Chappus,2025-09-14T15:35:22Z,733,137882,https://www.youtube.com/watch?v=_ZWO7ogPOFI,"health, wellness, nutrition, diet, fitness, sleep, meditation, lifestyle"
